ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
101787;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA 85G CALABRESA PICANT;MACARRÃO INSTANTANEO SANDELLA 85G CALABRESA PICANTE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
108412;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA 85GCARNE;MACARRÃO INSTANTANEO SANDELLA 85G CARNE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
220429;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA CARNE COM PIMENTA 85 G;MACARRÃO INSTANTANEO SANDELLA 85G CARNE COM PIMENTA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101791;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA 85G CARNE TOMATE;MACARRÃO INSTANTANEO SANDELLA 85G CARNE TOMATE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101789;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA 85G GALINHA;MACARRÃO INSTANTANEO SANDELLA 85G GALINHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101788;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA 85G GALINHA CAIP PIM;MACARRÃO INSTANTANEO SANDELLA 85G GALINHA CAIPIRA APIMENTADA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
100642;#02 MERCEARIA - MASSAS;MAC PAULISTA ESPAGUETE 500GR SEMOLA;MACARRÃO PAULISTA 500G SEMOLA ESPAGUETE;#02 MERCEARIA - MASSAS
274807;#02 MERCEARIA - MASSAS;MACARRÃO RICOSA ESPAGUETE 400GR COMUM;MACARRÃO RICOSA 400G ESPAGUETE COMUM;#02 MERCEARIA - MASSAS
288968;#02 MERCEARIA - MASSAS;MACARRÃO SAFRA PARAFUSO 500G SEMOLA;MACARRÃO SAFRA 500G PARAFUSO SEMOLA;#02 MERCEARIA - MASSAS
309331;#02 MERCEARIA - MASSAS;MASSA PASTEL JK 500GR DISCAO;MASSA DE PASTEL JK 500G DISCAO;#02 MERCEARIA - MASSAS
309332;#02 MERCEARIA - MASSAS;MASSA PASTEL JK 500GR ROLO;MASSA DE PASTEL JK 500G ROLO;#02 MERCEARIA - MASSAS
108414;#02 MERCEARIA - MASSAS;MASSA LASANHA CRISTAL 500G;MASSA PARA LASANHA CRISTAL 500G;#02 MERCEARIA - MASSAS
319774;#02 MERCEARIA - MASSAS;MINI PASTEIS CONGELADOS RODEIO 500GR CAR;MINI PASTEIS RODEIO 500G CONGELADOS CARNE;#02 MERCEARIA - CONGELADOS
319773;#02 MERCEARIA - MASSAS;MINI PASTEIS CONGELADOS RODEIO 500GR FRA;MINI PASTEIS RODEIO 500G CONGELADOS FRANGO;#02 MERCEARIA - CONGELADOS
319775;#02 MERCEARIA - MASSAS;MINI PASTEIS CONGELADOS RODEIO 500GR QUE;MINI PASTEIS RODEIO 500G CONGELADOS QUEIJO;#02 MERCEARIA - CONGELADOS
232950;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID 20G ABACAXI UNID;REFRESCO EM PÓ MID 20G ABACAXI;#02 MERCEARIA - REFRESCOS EM PÓ
232952;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID 20G CAJU UN;REFRESCO EM PÓ MID 20G CAJU;#02 MERCEARIA - REFRESCOS EM PÓ
232949;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID 20G GOIABA UN;REFRESCO EM PÓ MID 20G GOIABA;#02 MERCEARIA - REFRESCOS EM PÓ
232948;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID GRAVIOLA 20G;REFRESCO EM PÓ MID 20G GRAVIOLA;#02 MERCEARIA - REFRESCOS EM PÓ
232412;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID 20G GROSELHA UN;REFRESCO EM PÓ MID 20G GROSELHA;#02 MERCEARIA - REFRESCOS EM PÓ
237682;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID 20G GUARANA UN;REFRESCO EM PÓ MID 20G GUARANA;#02 MERCEARIA - REFRESCOS EM PÓ
232411;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID LARANJA 20G;REFRESCO EM PÓ MID 20G LARANJA;#02 MERCEARIA - REFRESCOS EM PÓ
232947;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID LARANJA DOCE 20G;REFRESCO EM PÓ MID 20G LARANJA DOCE;#02 MERCEARIA - REFRESCOS EM PÓ
232946;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID 20G LIMAO UN;REFRESCO EM PÓ MID 20G LIMÃO;#02 MERCEARIA - REFRESCOS EM PÓ
232945;#02 MERCEARIA - SUCOS;REFRESCO EM PÓ MID LIMONADA SUIC 20G;REFRESCO EM PÓ MID 20G LIMONADA SUÍÇA;#02 MERCEARIA - REFRESCOS EM PÓ
